row_id,id,flight,flight_number,agent_name,agent_no,passenger_name,prm_agent_type,start_time,paused_at,end_time,service,seat_number,scanned_by,scanned_by_user,remarks,pos_location,no_show_flag,loc_name,arrival,airline,emp_type,departure,requested,service_date
1,11636,AA1487,1487,Agent D1,AG008,Chen Taylor,SELF,940,,1003,MEDA,38A,,,,AircraftGate-A,,SYD,DXB,AA,Employee,SYD,0,2025-12-01T00:00:00Z
2,11637,MH3639,3639,Agent C2,AG007,Viktor Sharma,SELF,911,,1005,WCHC,20D,,,,Aircraft Point,,SYD,MEL,MH,Employee,SYD,0,2025-12-01T00:00:00Z
3,11638,CX318,318,Agent B1,AG004,Maria Williams,SELF,2025,,2107,WCHC,36C,,,,AircraftGate-A,,SYD,HKG,CX,Employee,SYD,0,2025-12-01T00:00:00Z
4,11639,QF5745,5745,Agent D1,AG008,Fatima Sharma,OUTSOURCED,715,,818,WCHR,3E,,,,Boarding Gate,,SYD,PER,QF,Employee,SYD,0,2025-12-01T00:00:00Z
5,11640,BA4224,4224,Agent C1,AG006,Sato Kim,SELF,1137,,1257,WCHR,27D,,,,Aircraft Point,,SYD,MEL,BA,Employee,SYD,0,2025-12-01T00:00:00Z
6,11641,AA5716,5716,Agent A2,AG002,Tara Anderson,SELF,1542,,1640,MAAS,29F,,,,AircraftGate-A,,SYD,BNE,AA,Employee,SYD,0,2025-12-01T00:00:00Z
7,11642,SQ4770,4770,Agent D1,AG008,Uma Mueller,SELF,2140,2229,2229,WCHR,26B,,,,AircraftGate-A,,SYD,MEL,SQ,Employee,SYD,1,2025-12-01T00:00:00Z
8,11642,SQ4770,4770,Agent D1,AG008,Uma Mueller,SELF,2253,,2301,WCHR,26B,,,,AircraftGate-A,,SYD,MEL,SQ,Employee,SYD,1,2025-12-01T00:00:00Z
9,11643,QF646,646,Agent C1,AG006,Sato Singh,SELF,710,738,738,WCHR,9E,,,,Aircraft Point,,SYD,HKG,QF,Employee,SYD,0,2025-12-01T00:00:00Z
10,11643,QF646,646,Agent C1,AG006,Sato Singh,SELF,755,,803,WCHR,9E,,,,Aircraft Point,,SYD,HKG,QF,Employee,SYD,0,2025-12-01T00:00:00Z
11,11644,CX9994,9994,Agent A3,AG003,Yuki Nguyen,SELF,1447,,1530,WCHR,14E,,,,AircraftGate-A,,SYD,PER,CX,Employee,SYD,0,2025-12-01T00:00:00Z
12,11645,LH4524,4524,Agent B1,AG004,Priya Santos,SELF,1433,,1540,WCHR,33A,,,,AircraftGate-A,,SYD,NRT,LH,Employee,SYD,0,2025-12-01T00:00:00Z
13,11646,BA7920,7920,Agent A1,AG001,Bianca Sharma,SELF,917,,1044,WCHR,42F,,,,Aircraft Point,,SYD,MEL,BA,Employee,SYD,0,2025-12-01T00:00:00Z
14,11647,SQ3356,3356,Agent D1,AG008,Yuki Singh,SELF,951,,1044,WCHR,34A,,,,Aircraft Point,,SYD,MEL,SQ,Employee,SYD,0,2025-12-01T00:00:00Z
15,11648,EK830,830,Agent C1,AG006,Raj Thomas,SELF,1826,,1916,WCHC,41E,,,,Aircraft Point,,SYD,BNE,EK,Employee,SYD,0,2025-12-01T00:00:00Z
16,11649,EK4106,4106,Agent A2,AG002,Fatima Thomas,OUTSOURCED,1721,1742,1742,WCHC,6D,,,,AircraftGate-A,,SYD,BNE,EK,Employee,SYD,0,2025-12-01T00:00:00Z
17,11649,EK4106,4106,Agent A2,AG002,Fatima Thomas,OUTSOURCED,1806,,1843,WCHC,6D,,,,AircraftGate-A,,SYD,BNE,EK,Employee,SYD,0,2025-12-01T00:00:00Z
18,11650,QF3197,3197,Agent B1,AG004,Maria Santos,SELF,1200,,1220,WCHS,15A,,,,Boarding Gate,,SYD,MEL,QF,Employee,SYD,0,2025-12-01T00:00:00Z
19,11651,QF7583,7583,Agent B2,AG005,Arjun Tanaka,SELF,2150,,2231,WCHR,38E,,,,AircraftGate-A,,SYD,MEL,QF,Employee,SYD,0,2025-12-01T00:00:00Z
20,11652,AA9930,9930,Agent C2,AG007,George Kumar,SELF,1043,1051,1051,MAAS,10D,,,,Aircraft Point,,SYD,MEL,AA,Employee,SYD,1,2025-12-01T00:00:00Z
21,11652,AA9930,9930,Agent C2,AG007,George Kumar,SELF,1115,,1153,MAAS,10D,,,,Aircraft Point,,SYD,MEL,AA,Employee,SYD,1,2025-12-01T00:00:00Z
22,11653,CX6973,6973,Agent B2,AG005,Nadia Wilson,SELF,245,,326,WCHR,33C,,,,Aircraft Point,,SYD,PER,CX,Employee,SYD,0,2025-12-01T00:00:00Z
23,11654,MH3914,3914,Agent A3,AG003,Aisha Mueller,OUTSOURCED,1341,1425,1425,DPNA,12F,,,,Aircraft Point,,SYD,PER,MH,Employee,SYD,0,2025-12-01T00:00:00Z
24,11654,MH3914,3914,Agent A3,AG003,Aisha Mueller,OUTSOURCED,1430,,1516,DPNA,12F,,,,Aircraft Point,,SYD,PER,MH,Employee,SYD,0,2025-12-01T00:00:00Z
25,11655,MH3177,3177,Agent C2,AG007,Omar Mueller,SELF,1027,,1111,MAAS,11D,,,,Aircraft Point,,KUL,NRT,MH,Employee,KUL,0,2025-12-01T00:00:00Z
26,11656,QF7454,7454,Agent D1,AG008,Hana Sharma,SELF,825,,846,BLND,24E,,,,Aircraft Point,,KUL,DEL,QF,Employee,KUL,0,2025-12-01T00:00:00Z
27,11657,AA3828,3828,Agent B2,AG005,Uma Thomas,OUTSOURCED,1706,,1746,DPNA,35C,,,,AircraftGate-A,,KUL,HKG,AA,Employee,KUL,0,2025-12-01T00:00:00Z
28,11658,LH1725,1725,Agent A1,AG001,George Nguyen,OUTSOURCED,1220,,1302,WCHR,28B,,,,Aircraft Point,,KUL,SIN,LH,Employee,KUL,0,2025-12-01T00:00:00Z
29,11659,JL8323,8323,Agent A3,AG003,Yuki Williams,SELF,1025,,1117,WCHR,14E,,,,AircraftGate-A,,KUL,JKT,JL,Employee,KUL,0,2025-12-01T00:00:00Z
30,11660,QF5332,5332,Agent C2,AG007,David Singh,SELF,1804,,1828,WCHR,22A,,,,Checkin Counter,,KUL,JKT,QF,Employee,KUL,0,2025-12-01T00:00:00Z
31,11661,QF3264,3264,Agent B2,AG005,Aisha Garcia,SELF,1531,,1551,WCHR,40A,,,,Aircraft Point,,KUL,JKT,QF,Employee,KUL,0,2025-12-01T00:00:00Z
32,11662,BA7898,7898,Agent B1,AG004,Fatima Ali,SELF,426,,512,WCHR,18B,,,,Aircraft Point,,KUL,SIN,BA,Employee,KUL,0,2025-12-01T00:00:00Z
33,11663,QF5667,5667,Agent A3,AG003,Sato Sharma,SELF,929,,1000,WCHR,7F,,,,Aircraft Point,,KUL,BKK,QF,Employee,KUL,1,2025-12-01T00:00:00Z
34,11664,LH1645,1645,Agent B1,AG004,Uma Mueller,SELF,1059,1131,1131,WCHR,7E,,,,Checkin Counter,,KUL,HKG,LH,Employee,KUL,0,2025-12-01T00:00:00Z
35,11664,LH1645,1645,Agent B1,AG004,Uma Mueller,SELF,1151,,1220,WCHR,7E,,,,Checkin Counter,,KUL,HKG,LH,Employee,KUL,0,2025-12-01T00:00:00Z
36,11665,JL6216,6216,Agent B1,AG004,Viktor Singh,SELF,503,,604,DPNA,41E,,,,Boarding Gate,,JFK,SFO,JL,Employee,JFK,0,2025-12-01T00:00:00Z
37,11666,QF4150,4150,Agent A2,AG002,Aisha Lee,SELF,1946,,2027,WCHR,1E,,,,AircraftGate-A,,JFK,CDG,QF,Employee,JFK,0,2025-12-01T00:00:00Z
38,11667,MH444,444,Agent D1,AG008,Priya Ali,SELF,1858,,1944,MEDA,14E,,,,AircraftGate-A,,JFK,LHR,MH,Employee,JFK,0,2025-12-01T00:00:00Z
39,11668,CX2442,2442,Agent A3,AG003,Yuki Sharma,SELF,244,,309,DPNA,21A,,,,Aircraft Point,,JFK,ORD,CX,Employee,JFK,0,2025-12-01T00:00:00Z
40,11669,CX2161,2161,Agent D1,AG008,Chen Wilson,SELF,1439,,1505,WCHR,30F,,,,AircraftGate-A,,JFK,DXB,CX,Employee,JFK,0,2025-12-01T00:00:00Z
41,11670,QF6267,6267,Agent A2,AG002,Zara Mueller,OUTSOURCED,1043,1121,1121,WCHR,2C,,,,Aircraft Point,,JFK,SFO,QF,Employee,JFK,1,2025-12-01T00:00:00Z
42,11670,QF6267,6267,Agent A2,AG002,Zara Mueller,OUTSOURCED,1144,,1230,WCHR,2C,,,,Aircraft Point,,JFK,SFO,QF,Employee,JFK,1,2025-12-01T00:00:00Z
43,11671,QF9069,9069,Agent A2,AG002,Devi Williams,SELF,1406,,1531,WCHC,11F,,,,AircraftGate-A,,JFK,LAX,QF,Employee,JFK,0,2025-12-01T00:00:00Z
