row_id,id,flight,flight_number,agent_name,agent_no,passenger_name,prm_agent_type,start_time,paused_at,end_time,service,seat_number,scanned_by,scanned_by_user,remarks,pos_location,no_show_flag,loc_name,arrival,airline,emp_type,departure,requested,service_date
1,5956,AI5440,5440,Agent A1,AG001,Zara Chen,SELF,2012,2034,2034,WCHR,27D,,,,Aircraft Point,,BLR,DEL,AI,Employee,BLR,0,2025-12-01T00:00:00Z
2,5956,AI5440,5440,Agent A1,AG001,Zara Chen,SELF,2104,,2136,WCHR,27D,,,,Aircraft Point,,BLR,DEL,AI,Employee,BLR,0,2025-12-01T00:00:00Z
3,5957,BA4820,4820,Agent A2,AG002,Zara Brown,OUTSOURCED,1032,,1104,MAAS,15E,,,,Boarding Gate,,BLR,DXB,BA,Employee,BLR,0,2025-12-01T00:00:00Z
4,5958,IX2453,2453,Agent A3,AG003,Nadia Sharma,OUTSOURCED,1349,,1425,WCHC,10E,,,,Aircraft Point,,BLR,HYD,IX,Employee,BLR,0,2025-12-01T00:00:00Z
5,5959,QR9534,9534,Agent A1,AG001,Zara Kumar,SELF,1146,,1303,UMNR,31E,,,,Belt Area,,BLR,BOM,QR,Employee,BLR,0,2025-12-01T00:00:00Z
6,5960,SV1513,1513,Agent B1,AG004,Aarav Brown,SELF,1142,,1213,WCHR,8B,,,,Aircraft Point,,BLR,HYD,SV,Employee,BLR,0,2025-12-01T00:00:00Z
7,5961,IX2132,2132,Agent A1,AG001,Nadia Nguyen,SELF,446,,507,MAAS,36F,,,,Boarding Gate,,BLR,KUL,IX,Employee,BLR,0,2025-12-01T00:00:00Z
8,5962,AI3948,3948,Agent A3,AG003,George Patel,SELF,927,,1035,WCHC,41C,,,,Aircraft Point,,BLR,DEL,AI,Employee,BLR,0,2025-12-01T00:00:00Z
9,5963,IX827,827,Agent D1,AG008,Uma Singh,OUTSOURCED,928,,943,MAAS,13D,,,,AircraftGate-A,,BLR,SIN,IX,Employee,BLR,0,2025-12-01T00:00:00Z
10,5964,BA7893,7893,Agent B2,AG005,Devi Johnson,SELF,917,,1035,WCHC,1F,,,,Checkin Counter,,BLR,BOM,BA,Employee,BLR,0,2025-12-01T00:00:00Z
